lang,noun,pron,verb,noun2verb,pron2noun
ara,0.44254516296929824,0.004389725907883198,0.10144433882847731,0.8135178372133575,0.009821846575708934
ces,0.28930735382775097,0.044859580952017024,0.1235491783115323,0.7007454922141061,0.13424302731083085
deu,0.21302258948572947,0.06410827157583361,0.09082890554081864,0.7010746794815581,0.2313285187014676
eng,0.22355344659336862,0.06730157256905368,0.1279875009184814,0.6359243444487583,0.23139216494479828
fas,0.5508261903784791,0.02105191191011252,0.05965139626762435,0.9022873278684275,0.0368118867042909
fra,0.29639793815093507,0.04070112342796823,0.11180072610683045,0.7261119746432302,0.12073935548005522
hin,0.3167910980032438,0.04882260955975201,0.09271878869598331,0.7735859579769254,0.1335360478828322
jpn,0.3762451458953566,0.0049742512038449295,0.10603420128372656,0.7801394525725913,0.01304826365524764
kor,0.34212972731276237,0.006483980586545056,0.06694743303086201,0.8363452191400119,0.018599327678812533
nld,0.2242201692962224,0.036318053911775214,0.14848682740058597,0.6015990343176256,0.13939626003659786
rus,0.33478381050096745,0.04241824037745273,0.12902197663192197,0.7218189591175699,0.11245495690882387
pol,0.3256646440228944,0.04214362761804709,0.10840480515510645,0.750259306752887,0.11458042373551665
spa,0.21090012181990084,0.055007317859636654,0.10471914150492045,0.6682105508967361,0.2068664115826529
tam,0.4737319707487634,0.0284316589134094,0.14176361226096645,0.7696756627110914,0.05661831569231051
tur,0.3909624062033242,0.031068817090429038,0.2566114578538937,0.6037340725177565,0.07361734245147002
zho,0.5511080623076366,0.018713187233432543,0.1130589350288795,0.8297733318844877,0.03284045171798005
