Averaged result(MAP)
DataSpecific_TTR_Orthography_Typology5_Geography_PRAG: 0.5065   DataSpecific_TTR_Orthography_Typology5_Geography_Culture: 0.5123  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture: 0.5745   DataSpecific_TTR_Orthography_Typology5_Geography_OFF: 0.5108      DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_OFF: 0.5090 DataSpecific_TTR_Orthography_Typology5_Geography_Culture_OFF: 0.5345    DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture_OFF: 0.5654 Learned_PRAG: 0.5698    Learned_Culture: 0.7028 Learned_PRAG_Culture: 0.7444      Learned_OFF: 0.6426     Learned_PRAG_OFF: 0.4946        Learned_Culture_OFF: 0.7333       Learned_PRAG_Culture_OFF: 0.7667        Colex: 0.5778   Colex_PRAG: 0.5577      Colex_Culture: 0.7325     Colex_PRAG_Culture: 0.6963      Colex_OFF: 0.5964       Colex_PRAG_OFF: 0.5575  Colex_Culture_OFF: 0.7669 Colex_PRAG_Culture_OFF: 0.6899

Averaged result(NDCG)
DataSpecific_TTR_Orthography_Typology5_Geography_PRAG: 0.5360   DataSpecific_TTR_Orthography_Typology5_Geography_Culture: 0.6071  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture: 0.6763   DataSpecific_TTR_Orthography_Typology5_Geography_OFF: 0.6017      DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_OFF: 0.5835 DataSpecific_TTR_Orthography_Typology5_Geography_Culture_OFF: 0.6147    DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture_OFF: 0.6273 Learned_PRAG: 0.7387    Learned_Culture: 0.7692 Learned_PRAG_Culture: 0.7653      Learned_OFF: 0.7650     Learned_PRAG_OFF: 0.6230        Learned_Culture_OFF: 0.7387       Learned_PRAG_Culture_OFF: 0.7961        Colex: 0.7141   Colex_PRAG: 0.7195      Colex_Culture: 0.7156     Colex_PRAG_Culture: 0.7633      Colex_OFF: 0.7381       Colex_PRAG_OFF: 0.7326  Colex_Culture_OFF: 0.7934 Colex_PRAG_Culture_OFF: 0.7206

        DataSpecific_TTR_Orthography_Typology5_Geography_PRAG   DataSpecific_TTR_Orthography_Typology5_Geography_Culture  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture   DataSpecific_TTR_Orthography_Typology5_Geography_OFF      DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_OFF       DataSpecific_TTR_Orthography_Typology5_Geography_Culture_OFF      DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture_OFF Learned_PRAG    Learned_Culture Learned_PRAG_Culture    Learned_OFF     Learned_PRAG_OFF Learned_Culture_OFF      Learned_PRAG_Culture_OFF        Colex   Colex_PRAG      Colex_Culture   Colex_PRAG_Culture        Colex_OFF       Colex_PRAG_OFF  Colex_Culture_OFF       Colex_PRAG_Culture_OFF
COLD    0.2917  0.4167  0.4500  0.3250  0.3333  0.5833  0.3667  0.7500  0.5833  0.5833  0.5000  0.2679  0.7000    0.5833  0.4167  0.5000  0.7500  0.5000  0.4167  0.5000  1.0000  0.8333
ChileOLD        0.2917  0.6667  0.6429  0.3750  0.2500  0.6429  0.6667  0.3667  0.4500  0.5000  0.3250  0.3333    0.5833  0.4500  0.3750  0.3929  0.7500  0.7000  0.4500  0.3929  0.6429  0.3929
DeTox   0.2250  0.2679  0.2500  0.2667  0.2262  0.4500  0.6667  0.3250  0.7500  1.0000  0.7000  0.3250  1.0000    1.0000  0.4500  0.4500  0.7000  0.8333  0.7000  0.4167  0.8333  0.8333
Hindi   0.2917  0.3095  0.6429  0.3750  0.3750  0.3333  0.3929  0.8333  0.8333  0.7500  0.7500  0.4500  0.7500    0.8333  0.6667  0.4167  0.8333  0.7500  0.6667  0.6667  0.8333  0.7500
KOLD    0.5000  0.2917  0.3333  0.6250  0.5000  0.2917  0.3333  0.4167  0.4167  0.3667  0.8333  0.5000  0.4500    0.4500  0.2917  0.5000  0.5000  0.4500  0.3750  0.3333  0.4500  0.3667
NJH_UK  0.6667  0.6667  0.6429  0.6667  0.6429  0.6667  0.6429  0.8333  0.8333  0.8333  0.8333  0.8333  0.8333    1.0000  0.6667  0.6429  0.6667  0.6667  0.6667  0.6667  0.6667  0.6667
NJH_US  0.8333  0.5000  0.7500  0.5833  0.7000  0.5000  0.7500  0.8333  0.8333  0.8333  0.7500  0.7500  0.7500    0.7500  0.6667  0.6667  0.6429  0.6667  0.6429  0.6667  0.6429  0.6667
PolEval 0.7917  0.7917  0.7917  0.6806  0.5536  0.6429  0.5694  0.4028  0.7917  0.8333  0.5917  0.6250  0.8333    0.8333  0.8333  0.8667  1.0000  0.8667  0.8667  0.7917  1.0000  0.8667
TurkishOLD      0.6667  0.7000  0.6667  0.7000  1.0000  0.7000  0.7000  0.3667  0.8333  1.0000  0.5000  0.3667    0.7000  1.0000  0.8333  0.5833  0.7500  0.8333  0.5833  0.5833  0.8333  0.8333
        DataSpecific_TTR_Orthography_Typology5_Geography_PRAG   DataSpecific_TTR_Orthography_Typology5_Geography_Culture  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture   DataSpecific_TTR_Orthography_Typology5_Geography_OFF      DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_OFF       DataSpecific_TTR_Orthography_Typology5_Geography_Culture_OFF      DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture_OFF Learned_PRAG    Learned_Culture Learned_PRAG_Culture    Learned_OFF     Learned_PRAG_OFF Learned_Culture_OFF      Learned_PRAG_Culture_OFF        Colex   Colex_PRAG      Colex_Culture   Colex_PRAG_Culture        Colex_OFF       Colex_PRAG_OFF  Colex_Culture_OFF       Colex_PRAG_Culture_OFF
COLD    0.3490  0.5966  0.5966  0.3490  0.5731  0.7428  0.5731  0.7962  0.6414  0.6414  0.6307  0.2028  0.6841    0.6531  0.6355  0.7476  0.7407  0.6414  0.6355  0.7476  0.8773  0.8303
