Averaged result(MAP)
Learned_PRAG_Culture_OFF: 0.7667        Learned_PRAG_noPDI_OFF: 0.7628  Learned_PRAG_noIDV_OFF: 0.7481  Learned_PRAG_noMAS_OFF: 0.7094  Learned_PRAG_noUAI_OFF: 0.7676  Learned_PRAG_noLTO_OFF: 0.6194  Learned_PRAG_noIVR_OFF: 0.7333  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture: 0.5745        DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noPDI: 0.5152     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noIDV: 0.5198     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noMAS: 0.5409  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noUAI: 0.4612     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noLTO: 0.5119     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noIVR: 0.5530  Colex_Culture_OFF: 0.7669       Colex_noPDI_OFF: 0.7643 Colex_noIDV_OFF: 0.7206 Colex_noMAS_OFF: 0.6892 Colex_noUAI_OFF: 0.7606 Colex_noLTO_OFF: 0.7180 Colex_noIVR_OFF: 0.6995

Averaged result(NDCG)
Learned_PRAG_Culture_OFF: 0.7961        Learned_PRAG_noPDI_OFF: 0.7631  Learned_PRAG_noIDV_OFF: 0.7852  Learned_PRAG_noMAS_OFF: 0.7200  Learned_PRAG_noUAI_OFF: 0.7789  Learned_PRAG_noLTO_OFF: 0.6716  Learned_PRAG_noIVR_OFF: 0.7561  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture: 0.6763        DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noPDI: 0.6246     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noIDV: 0.6518     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noMAS: 0.6320  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noUAI: 0.5955     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noLTO: 0.6707     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noIVR: 0.6195  Colex_Culture_OFF: 0.7934       Colex_noPDI_OFF: 0.7895 Colex_noIDV_OFF: 0.7586 Colex_noMAS_OFF: 0.7274 Colex_noUAI_OFF: 0.8096 Colex_noLTO_OFF: 0.7436 Colex_noIVR_OFF: 0.7413

        Learned_PRAG_Culture_OFF        Learned_PRAG_noPDI_OFF  Learned_PRAG_noIDV_OFF  Learned_PRAG_noMAS_OFF  Learned_PRAG_noUAI_OFF  Learned_PRAG_noLTO_OFF  Learned_PRAG_noIVR_OFF  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture        DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noPDI     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noIDV     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noMAS     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noUAI  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noLTO     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noIVR     Colex_Culture_OFF       Colex_noPDI_OFF Colex_noIDV_OFF Colex_noMAS_OFF Colex_noUAI_OFF      Colex_noLTO_OFF Colex_noIVR_OFF
COLD    0.5833  1.0000  0.7500  0.7500  0.7500  0.4500  0.7500  0.4500  0.4167  0.4167  0.3333  0.4500  0.3667  0.4500  1.0000  0.8333  0.5833  0.7500  0.8333  0.7500  0.5833
ChileOLD        0.4500  0.5000  0.4500  0.5833  0.5000  0.4167  0.4500  0.6429  0.2917  0.3750  0.6667  0.3929  0.4167  0.3929  0.6429  0.6429  0.6429  0.3929  0.6429  0.6429  0.6429
DeTox   1.0000  0.8333  0.8333  0.5833  1.0000  0.5833  1.0000  0.2500  0.2679  0.2429  0.2250  0.2429  0.3750  0.2500  0.8333  0.8333  0.8333  0.8333  0.8333  0.8333  0.8333
Hindi   0.8333  0.7500  0.8333  0.7500  0.7000  0.5000  0.7500  0.6429  0.3929  0.3929  0.2917  0.3250  0.2917  0.4167  0.8333  0.7000  0.8333  0.8333  0.8333  0.8333  0.8333
KOLD    0.4500  0.6667  0.4500  0.2679  0.5833  0.2917  0.4500  0.3333  0.4167  0.4500  0.4167  0.3333  0.3333  0.5833  0.4500  0.8333  0.4500  0.2917  0.5833  0.4500  0.4500
NJH_UK  1.0000  0.8333  0.8333  1.0000  0.8333  0.8333  0.8333  0.6429  0.6429  0.6429  0.6429  0.6429  0.6429  0.6429  0.6667  0.6429  0.6667  0.6429  0.6429  0.6429  0.6429
NJH_US  0.7500  0.7500  0.7500  0.7500  0.7500  0.7500  0.7500  0.7500  0.4167  0.7000  1.0000  0.4167  0.8333  0.7000  0.6429  0.6429  0.6429  0.6250  0.6429  0.6429  0.6429
PolEval 0.8333  0.5317  0.8333  1.0000  0.7917  0.9167  0.8667  0.7917  0.7917  0.7917  0.6250  0.6806  0.6806  0.7917  1.0000  1.0000  1.0000  1.0000  1.0000  0.9167  0.9167
TurkishOLD      1.0000  1.0000  1.0000  0.7000  1.0000  0.8333  0.7500  0.6667  1.0000  0.6667  0.6667  0.6667  0.6667  0.7500  0.8333  0.7500  0.8333  0.8333  0.8333  0.7500  0.7500
        Learned_PRAG_Culture_OFF        Learned_PRAG_noPDI_OFF  Learned_PRAG_noIDV_OFF  Learned_PRAG_noMAS_OFF  Learned_PRAG_noUAI_OFF  Learned_PRAG_noLTO_OFF  Learned_PRAG_noIVR_OFF  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_Culture        DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noPDI     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noIDV     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noMAS     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noUAI  DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noLTO     DataSpecific_TTR_Orthography_Typology5_Geography_PRAG_noIVR     Colex_Culture_OFF       Colex_noPDI_OFF Colex_noIDV_OFF Colex_noMAS_OFF Colex_noUAI_OFF      Colex_noLTO_OFF Colex_noIVR_OFF
COLD    0.6531  0.8655  0.6841  0.6841  0.6841  0.5187  0.6841  0.5966  0.5731  0.5731  0.5731  0.5966  0.5731  0.5966  0.8773  0.9434  0.7428  0.7407  0.8303  0.7641  0.7311
ChileOLD        0.5635  0.6083  0.5635  0.6531  0.6083  0.6393  0.6083  0.7738  0.3586  0.6083  0.7738  0.6083  0.7428  0.7428  0.7289  0.7289  0.5496  0.4290  0.7524  0.8090  0.7738
DeTox   0.9711  0.9404  0.9404  0.8827  0.8538  0.8929  0.9711  0.4711  0.4609  0.4609  0.3045  0.3045  0.6583  0.3045  0.7821  0.7821  0.7821  0.7821  0.7821  0.7821  0.7821
Hindi   0.9434  0.6841  0.9434  0.6841  0.7193  0.7028  0.7193  0.6958  0.4621  0.4621  0.4269  0.3703  0.3372  0.4717  0.8751  0.7855  0.8751  0.8751  0.8751  0.8751  0.8751
KOLD    0.5635  0.6062  0.5635  0.0566  0.7428  0.1579  0.5635  0.4717  0.5187  0.5187  0.5187  0.4717  0.4717  0.6531  0.5635  0.8751  0.5635  0.4055  0.7428  0.6980  0.6980
NJH_UK  0.9669  0.9434  0.9434  0.9669  0.9434  0.9434  0.9434  0.7972  0.8090  0.7972  0.7972  0.7972  0.7972  0.7972  0.7641  0.7641  0.7641  0.7641  0.7641  0.7641  0.7641
NJH_US  0.7193  0.7193  0.7193  0.7193  0.7193  0.7193  0.7193  0.8090  0.7524  0.8090  0.9221  0.7524  0.9434  0.7193  0.7193  0.7193  0.7193  0.7193  0.7193  0.7193  0.7193
PolEval 0.7840  0.5009  0.7088  0.9346  0.7840  0.7643  0.7088  0.7643  0.7643  0.8396  0.5744  0.7626  0.7151  0.7643  1.0000  0.9901  1.0000  1.0000  0.9901  0.7643  0.8118
TurkishOLD      1.0000  1.0000  1.0000  0.8986  0.9552  0.7055  0.8869  0.7076  0.9221  0.7972  0.7972  0.6958  0.7972  0.5262  0.8303  0.5165  0.8303  0.8303  0.8303  0.5165  0.5165
