Averaged result(MAP)
DataSpecific: 0.4686    Typology5: 0.4000       Geography: 0.3060       Orthography: 0.4072     PRAG: 0.5051      OFF: 0.4468     Culture: 0.5374

Averaged result(NDCG)
DataSpecific: 0.6214    Typology5: 0.3808       Geography: 0.5022       Orthography: 0.5764     PRAG: 0.6023      OFF: 0.5306     Culture: 0.6434

        DataSpecific    Typology5       Geography       Orthography     PRAG    OFF     Culture
COLD    0.7500  0.2500  0.2667  0.5833  0.4500  0.2429  0.5833
ChileOLD        0.3929  0.2083  0.2917  0.2917  0.2679  0.2679  0.4500
DeTox   0.2262  0.2679  0.2429  0.3333  0.2667  0.6667  0.6250
Hindi   0.8333  0.2500  0.2500  0.4167  0.4167  0.2083  0.3095
KOLD    0.6429  0.3250  0.2667  0.3750  0.5000  0.6667  0.3095
NJH_UK  0.4167  0.6429  0.2917  0.4500  1.0000  0.6250  0.6667
NJH_US  0.3667  0.6250  0.2917  0.3333  0.7500  0.6667  0.3929
PolEval 0.3206  0.3313  0.4524  0.6389  0.5694  0.4524  1.0000
TurkishOLD      0.2679  0.7000  0.4000  0.2429  0.3250  0.2250  0.5000
        DataSpecific    Typology5       Geography       Orthography     PRAG    OFF     Culture
COLD    0.6958  0.1579  0.3821  0.8207  0.7924  0.0955  0.7311
ChileOLD        0.6083  -0.0331 0.5731  0.2807  0.3138  0.1510  0.7876
DeTox   0.3147  0.4753  0.3538  0.5926  0.2211  0.7778  0.7635
Hindi   0.9434  0.2359  0.3821  0.7700  0.5635  0.3502  0.4269
KOLD    0.7972  0.2124  0.3821  0.6745  0.5518  0.7972  0.2359
NJH_UK  0.4835  0.6958  0.7641  0.7028  0.9669  0.8031  0.7972
NJH_US  0.7972  0.7193  0.6368  0.5459  0.7193  0.7017  0.5966
PolEval 0.4238  0.2912  0.5113  0.5582  0.6398  0.5426  0.9901
TurkishOLD      0.5283  0.6724  0.5349  0.2417  0.6521  0.5566  0.4621
